Date,Time,Classification_Code,Crime_Cat,Cat_Num,Latitude,Longitude
1/7/2017,2:25:00,347,MISDEMEANOR,2,40.680593444,-74.005243701
2/8/2017,1:00:00,344,MISDEMEANOR,2,40.870265001,-73.898357239
5/3/2017,15:30:00,112,FELONY,0,40.682807656,-73.767816313
7/18/2017,20:00:00,344,MISDEMEANOR,2,40.817474228,-73.896360494
3/15/2017,1:05:00,341,MISDEMEANOR,2,40.794515091,-73.966323533
3/6/2017,18:25:00,344,MISDEMEANOR,2,40.78342557,-73.949162582
3/9/2017,16:30:00,341,MISDEMEANOR,2,40.826892122,-73.917736752
5/15/2017,10:20:00,351,MISDEMEANOR,2,40.837500239,-73.925515221
9/11/2017,10:00:00,351,MISDEMEANOR,2,40.880802011,-73.859271018
2/8/2017,9:15:00,341,MISDEMEANOR,2,40.668608913,-73.985124619
5/8/2017,18:00:00,109,FELONY,0,40.645893521,-74.091278827
2/7/2017,9:10:00,109,FELONY,0,40.869470477,-73.879860804
5/24/2017,21:00:00,578,VIOLATION,1,40.677916767,-73.737329127
9/22/2017,19:25:00,121,FELONY,0,40.585331544,-73.982072143
7/12/2017,0:40:00,235,MISDEMEANOR,2,40.761014472,-73.988897839
2/28/2017,10:50:00,105,FELONY,0,40.63092036,-74.014322252
7/4/2017,23:00:00,351,MISDEMEANOR,2,40.809701258,-73.944085157
3/24/2017,12:26:00,351,MISDEMEANOR,2,40.638865171,-74.022712088
1/10/2017,11:30:00,678,VIOLATION,1,40.595753238,-74.077912441
2/2/2017,8:45:00,109,FELONY,0,40.777382268,-73.950560903
5/12/2017,4:51:00,347,MISDEMEANOR,2,40.797227879,-73.969923046
2/2/2017,12:00:00,106,FELONY,0,40.87593107,-73.866965327
2/5/2017,12:00:00,578,VIOLATION,1,40.791037008,-73.838980572
9/12/2017,16:00:00,121,FELONY,0,40.733589824,-73.97652243
1/15/2017,14:00:00,126,FELONY,0,40.685875326,-73.917777306
6/28/2017,17:30:00,578,VIOLATION,1,40.79897024,-73.940327046
9/7/2017,19:05:00,359,MISDEMEANOR,2,40.833033106,-73.9048356
8/27/2017,0:30:00,351,MISDEMEANOR,2,40.88367976,-73.833450905
3/25/2017,23:00:00,118,FELONY,0,40.835494793,-73.907820691
9/6/2017,18:20:00,344,MISDEMEANOR,2,40.714955179,-73.99450398
7/30/2017,3:00:00,341,MISDEMEANOR,2,40.574301425,-73.994072789
8/10/2017,8:00:00,341,MISDEMEANOR,2,40.840217533,-73.910145214
6/9/2017,20:00:00,361,MISDEMEANOR,2,40.772789727,-73.963724204
7/19/2017,10:47:00,118,FELONY,0,40.737203099,-73.983272598
5/9/2017,19:25:00,110,FELONY,0,40.630904873,-74.130463145
8/3/2017,22:20:00,351,MISDEMEANOR,2,40.680323174,-73.842020441
7/12/2017,1:15:00,353,MISDEMEANOR,2,40.771728713,-73.73307437
8/4/2017,19:13:00,109,FELONY,0,40.758232371,-73.977430585
6/20/2017,16:00:00,341,MISDEMEANOR,2,40.717041322,-73.956438786
5/12/2017,22:00:00,344,MISDEMEANOR,2,40.791997616,-73.949719421
7/28/2017,9:30:00,578,VIOLATION,1,40.856121627,-73.892378083
3/22/2017,5:15:00,118,FELONY,0,40.824144257,-73.917172879
9/12/2017,4:10:00,105,FELONY,0,40.650719291,-73.731670116
9/30/2017,19:50:00,106,FELONY,0,40.707934228,-73.928931436
1/6/2017,3:48:00,351,MISDEMEANOR,2,40.879505245,-73.865103068
2/1/2017,20:13:00,109,FELONY,0,40.608378051,-73.943378603
7/10/2017,16:00:00,578,VIOLATION,1,40.748981993,-74.003238815
6/17/2017,18:00:00,344,MISDEMEANOR,2,40.840781109,-73.936245382
8/31/2017,3:00:00,341,MISDEMEANOR,2,40.67632718,-73.842314716
3/13/2017,20:00:00,358,MISDEMEANOR,2,40.864470773,-73.918944803
5/17/2017,17:00:00,578,VIOLATION,1,40.651582982,-73.961299852
6/19/2017,21:00:00,351,MISDEMEANOR,2,40.711988801,-73.896993429
3/15/2017,16:00:00,341,MISDEMEANOR,2,40.7643196,-73.995774215
6/8/2017,18:30:00,113,FELONY,0,40.688911389,-73.980930089
12/16/2016,22:36:00,361,MISDEMEANOR,2,40.610678007,-74.140187638
5/13/2017,18:00:00,351,MISDEMEANOR,2,40.696196778,-73.942160846
3/24/2017,21:30:00,341,MISDEMEANOR,2,40.70008745,-73.90659418
5/11/2017,13:11:00,341,MISDEMEANOR,2,40.869301715,-73.889511247
8/9/2017,15:00:00,341,MISDEMEANOR,2,40.686395734,-73.949095931
5/20/2017,3:00:00,105,FELONY,0,40.681526232,-73.919722402
7/16/2017,15:30:00,109,FELONY,0,40.727314932,-73.997414561
6/8/2017,7:40:00,341,MISDEMEANOR,2,40.770741681,-73.987379899
7/11/2017,12:30:00,361,MISDEMEANOR,2,40.863276724,-73.892012205
4/22/2017,1:30:00,106,FELONY,0,40.716344152,-74.001253193
6/2/2017,14:45:00,578,VIOLATION,1,40.87723086,-73.865932146
3/15/2017,14:00:00,578,VIOLATION,1,40.713605847,-73.959070673
6/24/2017,0:30:00,109,FELONY,0,40.672535429,-73.957877396
4/17/2017,18:00:00,351,MISDEMEANOR,2,40.721877518,-74.004204344
9/29/2017,16:25:00,341,MISDEMEANOR,2,40.65150015,-73.935691073
8/12/2017,21:00:00,341,MISDEMEANOR,2,40.679371743,-73.912413369
5/19/2017,2:46:00,114,FELONY,0,40.796341237,-73.941199816
9/30/2017,1:35:00,341,MISDEMEANOR,2,40.633106919,-74.156296227
8/23/2017,19:07:00,118,FELONY,0,40.821664228,-73.918856034
6/29/2017,13:00:00,341,MISDEMEANOR,2,40.863338448,-73.896469785
1/16/2017,17:20:00,105,FELONY,0,40.667879491,-73.879218188
5/15/2017,18:10:00,121,FELONY,0,40.81558414,-73.865463846
7/14/2017,10:00:00,351,MISDEMEANOR,2,40.812546267,-73.90126679
5/21/2017,16:40:00,106,FELONY,0,40.701305384,-73.916333699
7/8/2017,15:15:00,341,MISDEMEANOR,2,40.732222576,-73.998612292
1/26/2017,1:00:00,236,MISDEMEANOR,2,40.84678953,-73.883790877
8/18/2017,20:00:00,344,MISDEMEANOR,2,40.875121011,-73.908995183
2/27/2017,17:30:00,344,MISDEMEANOR,2,40.595580487,-73.981187192
8/30/2017,11:45:00,351,MISDEMEANOR,2,40.648970679,-73.933019569
8/12/2017,19:00:00,235,MISDEMEANOR,2,40.630890017,-73.961239797
5/22/2017,1:00:00,106,FELONY,0,40.577556193,-73.987117607
2/14/2017,17:30:00,235,MISDEMEANOR,2,40.834171472,-73.922219615
5/21/2017,17:00:00,107,FELONY,0,40.6865411,-73.928287177
5/28/2017,16:14:00,344,MISDEMEANOR,2,40.735211323,-73.991691398
4/21/2017,12:00:00,107,FELONY,0,40.666266953,-73.910822911
5/6/2017,14:40:00,126,FELONY,0,40.888510035,-73.831297726
6/17/2017,9:20:00,109,FELONY,0,40.887313634,-73.847271758
1/2/2017,15:00:00,352,MISDEMEANOR,2,40.596213982,-73.764700204
5/20/2017,15:15:00,105,FELONY,0,40.694807805,-73.947643433
5/6/2017,20:45:00,348,MISDEMEANOR,2,40.681361129,-73.881169556
