id,name,latitude,longitude,price
57618,"Great new apt, close to everything",40.7672009868,-73.985075086,250
57740,Quiet & Clean Retreat in the City,40.7301159187,-73.990525814,259
57874,The Brownstone-Luxury 1 Bd Apt/NYC,40.8093143907,-73.943433415,155
57901,Huge Room - Luxury Doorman Building,40.7969587884,-73.970469508,70
58059,PRIVATE Room on Historic Sugar Hill,40.825101128,-73.9428686953,60
58062,South Slope Green,40.6584998657,-73.9839662347,135
58101,2BR Super Cool SoHo / Nolita,40.7262368093,-73.9932732855,125
58257,Large homey flat for long term visits,40.731704622,-73.9526867185,150
58294,Sunny apt. in the center of SOHO,40.7255412647,-74.0036274064,249
58364,Budget studio near Times Square,40.7582294378,-73.9877741241,100
58467,"17 Flr. Manhattan Views, Nr. Subway",40.7619340878,-73.9501007035,120
58471,Huge Apt 2 BR Dining and Living roo,40.8146411197,-73.9490955891,160
59014,"Spacious 1BR, Adorable Clean Quiet",40.7205207422,-73.9858856897,129
59121,"Nice, clean, safe, convenient 3BR",40.7041144686,-73.8993393632,185
59431,4 X 6 MINI Me Room ONLY For Short Stay,40.8330053712,-73.8727042574,35
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",40.7175629499,-73.995034028,250
59818,Beautiful 2 BRM Greenwich Village,40.7321593955,-74.0093542389,250
60056,YOUR PRIVATE SUITE IN NEW YORK*****,40.7608468437,-73.9300436002,99
60084,Cozy Affordable Room,40.8230692501,-73.9373672079,65
60164,"Beautiful, elegant 3 bed SOHO loft",40.7200306179,-74.0026217816,500
60181,Sunny East Village Loft Apartment,40.7255394286,-73.9795636198,210
60457,Spacious Greenwich Village Apt,40.731938207,-73.9947398067,225
60611,SpaHa Studio Monthly Rental,40.7916335338,-73.9457346594,95
60666,City Room - Private Luxury Suite,40.8117986306,-73.9443363824,110
60680,The gem of the East Village,40.7265375354,-73.9804895368,99
60794,"Bright and spacious, garden below!",40.8002054705,-73.9607066603,159
60864,Location!!Sunny 2br in a brownstone,40.6766023802,-73.9798920419,160
60948,ACCOMMODATIONS GALORE #2,40.8094192474,-73.9393576078,140
61167,Colorful Private One Bedroom Apt,40.7196142287,-73.9953965472,135
61224,Huge Chelsea Loft,40.7435846997,-74.0002718821,410
61482,Hospitality in Historic Harlem,40.8047424059,-73.9488776432,90
61492,Exclusive Room with Private Bath in  LES,40.7144530055,-73.9907959055,115
62095,BK Sweet Suite w/Kitchen&FullBath,40.6444645202,-73.9502960309,65
62219,Nice room with a bed/bamboo floor-,40.7050152292,-73.9218816425,55
62230,Room in charming downtown apt (LES),40.7132439801,-73.98913264,105
62264,Big Luminous Private Room - Williamsburg Bedford L,40.721588516,-73.960184622,65
62427,Great East Village Apartment Rental,40.7268030218,-73.990792215,130
62452,A SpeciaL!! Private Room in NY,40.6353579257,-74.0853658146,30
62461,B NYC Staten Alternative...,40.6362655389,-74.08543405,30
62468,"Great Studio, Great Location",40.7932331742,-73.9726658557,150
62680,"Clean, private East Village apt ",40.7272184453,-73.9873373043,135
62787,C Private Room By The Ferry,40.6351828483,-74.0854590338,30
62891,Smallest House In The Village,40.7247741262,-73.9816093561,175
62903,Beautiful modern studio apartment in heart of NYC,40.7423849132,-73.9956680217,160
62925,Beautiful Landmarked Duplex,40.7294527847,-73.955112527,285
63003,Gramercy Park Comfort,40.7363707647,-73.9813128178,85
63154,Cozy Corners in Crown Heights!,40.6772730966,-73.9505539412,60
63299,Nice & Sunny Guest Room near Williamsburg Bridge!,40.7076281503,-73.9517737193,59
